EnsembleType,Sensitivity,Fallout,Specificity,Miss_Rate,Test_Err,AUC
DT RF,0.9728,0.0859,0.9141,0.0272,0.0468,0.9507
DT GBT,0.9618,0.0732,0.9268,0.0382,0.0494,0.9424
DT LR,0.9725,0.1,0.9,0.0275,0.0519,0.9469
DT LSVC,0.9725,0.1,0.9,0.0275,0.0519,0.9469
RF GBT,0.9692,0.072,0.928,0.0308,0.0442,0.9505
RF LR,0.9801,0.1119,0.8881,0.0199,0.0519,0.9511
RF LSVC,0.9801,0.1119,0.8881,0.0199,0.0519,0.9511
GBT LR,0.969,0.0866,0.9134,0.031,0.0494,0.9467
GBT LSVC,0.969,0.0866,0.9134,0.031,0.0494,0.9467
LR LSVC,0.9958,0.1689,0.8311,0.0042,0.0675,0.9481
DT RF GBT,0.9425,0.0403,0.9597,0.0575,0.0519,0.9341
DT RF LR,0.9349,0.0403,0.9597,0.0651,0.0571,0.9275
DT RF LSVC,0.9349,0.0403,0.9597,0.0651,0.0571,0.9275
DT GBT LR,0.9425,0.0403,0.9597,0.0575,0.0519,0.9341
DT GBT LSVC,0.9425,0.0403,0.9597,0.0575,0.0519,0.9341
DT LR LSVC,0.9042,0.0081,0.9919,0.0958,0.0675,0.9134
RF GBT LR,0.9349,0.0403,0.9597,0.0651,0.0571,0.9275
RF GBT LSVC,0.9349,0.0403,0.9597,0.0651,0.0571,0.9275
RF LR LSVC,0.9042,0.0081,0.9919,0.0958,0.0675,0.9134
GBT LR LSVC,0.9042,0.0081,0.9919,0.0958,0.0675,0.9134
DT RF GBT LR,0.9349,0.0403,0.9597,0.0651,0.0571,0.9275
DT RF GBT LSVC,0.9349,0.0403,0.9597,0.0651,0.0571,0.9275
DT RF LR LSVC,0.9042,0.0081,0.9919,0.0958,0.0675,0.9134
DT GBT LR LSVC,0.9042,0.0081,0.9919,0.0958,0.0675,0.9134
RF GBT LR LSVC,0.9042,0.0081,0.9919,0.0958,0.0675,0.9134
DT RF GBT LR LSVC,0.9349,0.0403,0.9597,0.0651,0.0571,0.9275
##################
DT = DecisionTree
RF = RandomForest
GBT = GradientBoostedTree
LR = LogisticRegression
LSVC = LinearSVC
